Filename; VoxelX; VoxelY; VoxelZ; BinContent
sep_sim_194_x85_y82_z216.root; 58; 55; 20; 76
sep_sim_194_x85_y82_z216.root; 58; 55; 21; 182
sep_sim_194_x85_y82_z216.root; 58; 55; 22; 142
sep_sim_194_x85_y82_z216.root; 58; 56; 20; 74
sep_sim_194_x85_y82_z216.root; 58; 56; 21; 209
sep_sim_194_x85_y82_z216.root; 58; 56; 22; 127
sep_sim_194_x85_y82_z216.root; 58; 57; 20; 55
sep_sim_194_x85_y82_z216.root; 58; 57; 21; 184
sep_sim_194_x85_y82_z216.root; 58; 57; 22; 124
sep_sim_194_x85_y82_z216.root; 58; 58; 20; 85
sep_sim_194_x85_y82_z216.root; 58; 58; 21; 174
sep_sim_194_x85_y82_z216.root; 58; 58; 22; 116
sep_sim_194_x85_y82_z216.root; 58; 59; 20; 71
sep_sim_194_x85_y82_z216.root; 58; 59; 21; 186
sep_sim_194_x85_y82_z216.root; 58; 59; 22; 110
sep_sim_194_x85_y82_z216.root; 58; 60; 20; 90
sep_sim_194_x85_y82_z216.root; 58; 60; 21; 182
sep_sim_194_x85_y82_z216.root; 58; 60; 22; 108
sep_sim_194_x85_y82_z216.root; 58; 61; 20; 31
sep_sim_194_x85_y82_z216.root; 58; 61; 21; 68
sep_sim_194_x85_y82_z216.root; 58; 61; 22; 36
sep_sim_194_x85_y82_z216.root; 59; 55; 20; 23
sep_sim_194_x85_y82_z216.root; 59; 55; 21; 53
sep_sim_194_x85_y82_z216.root; 59; 55; 22; 34
sep_sim_194_x85_y82_z216.root; 59; 56; 20; 24
sep_sim_194_x85_y82_z216.root; 59; 56; 21; 55
sep_sim_194_x85_y82_z216.root; 59; 56; 22; 37
sep_sim_194_x85_y82_z216.root; 59; 57; 20; 23
sep_sim_194_x85_y82_z216.root; 59; 57; 21; 56
sep_sim_194_x85_y82_z216.root; 59; 57; 22; 39
sep_sim_194_x85_y82_z216.root; 59; 58; 20; 27
sep_sim_194_x85_y82_z216.root; 59; 58; 21; 54
sep_sim_194_x85_y82_z216.root; 59; 58; 22; 35
sep_sim_194_x85_y82_z216.root; 59; 59; 20; 23
sep_sim_194_x85_y82_z216.root; 59; 59; 21; 56
sep_sim_194_x85_y82_z216.root; 59; 59; 22; 37
sep_sim_194_x85_y82_z216.root; 59; 60; 20; 26
sep_sim_194_x85_y82_z216.root; 59; 60; 21; 51
sep_sim_194_x85_y82_z216.root; 59; 60; 22; 42
sep_sim_194_x85_y82_z216.root; 59; 61; 20; 12
sep_sim_194_x85_y82_z216.root; 59; 61; 21; 18
sep_sim_194_x85_y82_z216.root; 59; 61; 22; 10
sep_sim_194_x-92_y36_z171.root; 39; 52; 15; 1
sep_sim_194_x-92_y36_z171.root; 39; 52; 16; 18
sep_sim_194_x-92_y36_z171.root; 39; 52; 17; 26
sep_sim_194_x-92_y36_z171.root; 39; 52; 18; 5
sep_sim_194_x-92_y36_z171.root; 39; 53; 15; 13
sep_sim_194_x-92_y36_z171.root; 39; 53; 16; 109
sep_sim_194_x-92_y36_z171.root; 39; 53; 17; 118
sep_sim_194_x-92_y36_z171.root; 39; 53; 18; 37
sep_sim_194_x-92_y36_z171.root; 39; 54; 15; 8
